"version","enroadnodeid","enroadnodetype","enroadnodename","enstationid","enhex","exroadnodeid","exroadnodetype","exroadnodename","exstationid","exhex","miles"
"6120231210001","G000561005000410","1","城固匝道-上元观匝道",,,"G000561005001320","1","上元观-上元观站",,,"13138"
"6120231210001","G000561005000420","1","上元观匝道-城固匝道",,,"G000561005001220","1","城固-城固站",,,"13138"
"6120231210001","G000561005000420","1","上元观匝道-城固匝道",,,"G000561005000320","1","城固匝道-洋县匝道",,,"13138"
"6120231210001","G000561005000510","1","上元观匝道-谢家营立交",,,"G000561005000610","1","谢家营立交-汉中东匝道",,,"3259"
"6120231210001","G000561005000510","1","上元观匝道-谢家营立交",,,"G701161002000520","1","谢家营互通-盐井",,,"3259"
"6120231210001","G000561005000510","1","上元观匝道-谢家营立交",,,"G701161002000610","1","谢家营互通-铺镇",,,"3259"
"6120231210001","G000561005000520","1","谢家营立交-上元观匝道",,,"G000561005000420","1","上元观匝道-城固匝道",,,"3259"
"6120231210001","G000561005000520","1","谢家营立交-上元观匝道",,,"G000561005001320","1","上元观-上元观站",,,"3259"
"6120231210001","G000561005000610","1","谢家营立交-汉中东匝道",,,"G000561005000710","1","汉中东匝道-汉中匝道",,,"7151"
"6120231210001","G000561005000610","1","谢家营立交-汉中东匝道",,,"G000561005001420","1","汉中东-汉中东站",,,"7151"
"6120231210001","G000561005000620","1","汉中东匝道-谢家营立交",,,"G701161002000520","1","谢家营互通-盐井",,,"7151"
"6120231210001","G000561005000620","1","汉中东匝道-谢家营立交",,,"G701161002000610","1","谢家营互通-铺镇",,,"7151"
"6120231210001","G000561005000620","1","汉中东匝道-谢家营立交",,,"G000561005000520","1","谢家营立交-上元观匝道",,,"7151"
"6120231210001","G000561005000710","1","汉中东匝道-汉中匝道",,,"G000561005000810","1","汉中匝道-宝汉梁山立交",,,"13517"
"6120231210001","G000561005000710","1","汉中东匝道-汉中匝道",,,"G000561005001520","1","汉中-汉中站",,,"13517"
"6120231210001","G000561005000720","1","汉中匝道-汉中东匝道",,,"G000561005000620","1","汉中东匝道-谢家营立交",,,"13517"
"6120231210001","G000561005000720","1","汉中匝道-汉中东匝道",,,"G000561005001420","1","汉中东-汉中东站",,,"13517"
"6120231210001","G000561005000810","1","汉中匝道-宝汉梁山立交",,,"G000561005000910","1","宝汉梁山立交-勉县匝道",,,"8235"
"6120231210001","G000561005000810","1","汉中匝道-宝汉梁山立交",,,"G008561002000220","1","梁山立交-汉中西匝道",,,"8235"
